exemptn_no,mfr_no,mfr_name,report_id,date_of_event,mfr_aware_date,event_type,dev_prob_cd,report_year,report_qtr,initial_report_flag,dev_id,product_code,brand_name,model_no,catalog_no,impl_avail_for_eval,impl_ret_to_mfr
1997016,1038806,ZIMMER BIOMET 3I ,10992,,01/10/2000,IN,1863,1999,4,I,ST310,DZE,Self Tapping Threaded Implant 3mm x 10mm L,,ST310,,
1997016,1038806,ZIMMER BIOMET 3I ,10993,,01/10/2000,IN,1863,1999,4,I,TG2485,DZE,1.8/Osseotite Transgingival 4.0 x 8.5mm Threaded Implant,,TG2485,,
1997016,1038806,ZIMMER BIOMET 3I ,10994,,01/10/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,10996,,01/13/2000,IN,1863,1999,4,I,OSS413,DZE,Osseotite Implant 4.0mm x 13mm L,,OSS413,,
1997016,1038806,ZIMMER BIOMET 3I ,10997,,01/13/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,10998,,01/13/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,10999,,01/09/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11000,,01/13/2000,IN,1863,1999,4,I,MH310,DZE,Threaded Miniplant 3.25mm x 10mm L,,MH310,,
1997016,1038806,ZIMMER BIOMET 3I ,11001,,01/13/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11002,,01/13/2000,IN,2408,1999,4,I,OSS615,DZE,Osseotite Implant 6.0mm x 15mm L,,OSS615,,
1997016,1038806,ZIMMER BIOMET 3I ,11006,,01/13/2000,IN,2408,1999,4,I,TP410,DZE,Titanium Plasma Sprayed 4.0 x 10mm Hexed Cylindrical Implant,,TP410,,
1997016,1038806,ZIMMER BIOMET 3I ,11007,,01/13/2000,IN,1863,1999,4,I,ICE311,DZE,ICE Self Tapping Implant 3.75mm x 13mm L,,ICE311,,
1997016,1038806,ZIMMER BIOMET 3I ,11008,,01/13/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11010,,01/13/2000,IN,1863,1999,4,I,OSS685,DZE,Osseotite Implant 6.0mm x 8.5mm L,,OSS685,,
1997016,1038806,ZIMMER BIOMET 3I ,11011,,01/13/2000,IN,1863,1999,4,I,OSS685,DZE,Osseotite Implant 6.0mm x 8.5mm L,,OSS685,,
1997016,1038806,ZIMMER BIOMET 3I ,11012,,01/13/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11013,,01/13/2000,IN,2408,1999,4,I,HP415,DZE,HA/Plasma Sprayed Hexed Cylinder Implant 4.0mm x 15mm L,,HP415,,
1997016,1038806,ZIMMER BIOMET 3I ,11014,,01/13/2000,IN,1863,1999,4,I,OSM315,DZE,Osseotite Microminiplant 3.25 x 15mm L,,OSM315,,
1997016,1038806,ZIMMER BIOMET 3I ,11015,,01/13/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11016,,01/13/2000,IN,1863,1999,4,I,OSS611,DZE,Osseotite Implant 6.0mm x 11mm L,,OSS611,,
1997016,1038806,ZIMMER BIOMET 3I ,11017,,01/13/2000,IN,1863,1999,4,I,OSS485,DZE,Osseotite Implant 4.0mm x 8.5mm L,,OSS485,,
1997016,1038806,ZIMMER BIOMET 3I ,11018,,01/13/2000,IN,1863,1999,4,I,OSS511,DZE,Osseotite Implant 5.0mm x 11.5mm L,,OSS511,,
1997016,1038806,ZIMMER BIOMET 3I ,11022,,01/14/2000,IN,1863,1999,4,I,OS3211,DZE,Osseotite Miniplant 3.25mm x 11.5mm L,,OS3211,,
1997016,1038806,ZIMMER BIOMET 3I ,11023,,01/14/2000,IN,1863,1999,4,I,OS3210,DZE,Osseotite Miniplant 3.25mm x 10mm L,,OS3210,,
1997016,1038806,ZIMMER BIOMET 3I ,11027,,01/14/2000,IN,2408,1999,4,I,ST513,DZE,Standard Threaded Implant 5mm x 13mm L,,ST513,,
1997016,1038806,ZIMMER BIOMET 3I ,11028,,01/14/2000,IN,1863,1999,4,I,OSS315,DZE,Osseotite Implant 3.75mm x 15mm L,,OSS315,,
1997016,1038806,ZIMMER BIOMET 3I ,11029,,01/14/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11030,,01/14/2000,IN,1863,1999,4,I,OSS611,DZE,Osseotite Implant 6.0mm x 11mm L,,OSS611,,
1997016,1038806,ZIMMER BIOMET 3I ,11031,,01/14/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11032,,01/14/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11033,,01/14/2000,IN,2408,1999,4,I,OSS310,DZE,Osseotite Implant 3.75mm x 10mm L,,OSS310,,
1997016,1038806,ZIMMER BIOMET 3I ,11034,,01/14/2000,IN,2408,1999,4,I,MH385,DZE,Threaded Miniplant 3.25mm x 8.5mm L,,MH385,,
1997016,1038806,ZIMMER BIOMET 3I ,11035,,01/14/2000,IN,2408,1999,4,I,TH385,DZE,TPS HEXED CYLINDER IMPLANT 3.3MM X 8.5MM,,TH385,,
1997016,1038806,ZIMMER BIOMET 3I ,11036,,01/14/2000,IN,1863,1999,4,I,OSS418,DZE,Osseotite Implant 4.0mm x 18mm L,,OSS418,,
1997016,1038806,ZIMMER BIOMET 3I ,11037,,01/14/2000,IN,1863,1999,4,I,OSS311,DZE,Osseotite Implant 3.75mm x 11.5mm L,,OSS311,,
1997016,1038806,ZIMMER BIOMET 3I ,11038,,01/14/2000,IN,1863,1999,4,I,OSS685,DZE,Osseotite Implant 6.0mm x 8.5mm L,,OSS685,,
1997016,1038806,ZIMMER BIOMET 3I ,11039,,01/14/2000,IN,1863,1999,4,I,OSS610,DZE,Osseotite Implant 6.0mm x 10mm L,,OSS610,,
1997016,1038806,ZIMMER BIOMET 3I ,11040,,01/14/2000,IN,1863,1999,4,I,OS4511,DZE,Osseotite Implant 4.0-5.0mm x 11.5mm L,,OS4511,,
1997016,1038806,ZIMMER BIOMET 3I ,11041,,01/14/2000,IN,1863,1999,4,I,OSS511,DZE,Osseotite Implant 5.0mm x 11.5mm L,,OSS511,,
1997016,1038806,ZIMMER BIOMET 3I ,11042,,01/14/2000,IN,1863,1999,4,I,ST313,DZE,Self Tapping Threaded Implant 3mm x 13mm L,,ST313,,
1997016,1038806,ZIMMER BIOMET 3I ,11043,,01/14/2000,IN,1863,1999,4,I,OS3215,DZE,Osseotite Miniplant 3.25mm x 15mm L,,OS3215,,
1997016,1038806,ZIMMER BIOMET 3I ,11044,,01/14/2000,IN,1863,1999,4,I,OSM313,DZE,Osseotite Microminiplant 3.25 x 13mm L,,OSM313,,
1997016,1038806,ZIMMER BIOMET 3I ,11045,,01/14/2000,IN,1863,1999,4,I,OSM315,DZE,Osseotite Microminiplant 3.25 x 15mm L,,OSM315,,
1997016,1038806,ZIMMER BIOMET 3I ,11046,,01/15/2000,IN,1863,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11047,,01/15/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11050,,01/16/2000,IN,1863,1999,4,I,OS3285,DZE,Osseotite Miniplant 3.25mm x 8.5mm L,,OS3285,,
1997016,1038806,ZIMMER BIOMET 3I ,11069,,01/27/2000,IN,1863,1999,4,I,OS3210,DZE,Osseotite Miniplant 3.25mm x 10mm L,,OS3210,,
1997016,1038806,ZIMMER BIOMET 3I ,11070,,01/27/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11071,,01/27/2000,IN,1863,1999,4,I,OSS310,DZE,Osseotite Implant 3.75mm x 10mm L,,OSS310,,
1997016,1038806,ZIMMER BIOMET 3I ,11072,,01/27/2000,IN,1863,1999,4,I,OS3213,DZE,Osseotite Miniplant 3.25mm x 13mm L,,OS3213,,
1997016,1038806,ZIMMER BIOMET 3I ,11073,,01/27/2000,IN,1863,1999,4,I,OSS585,DZE,Osseotite Implant 5.0mm x 8.5mm L,,OSS585,,
1997016,1038806,ZIMMER BIOMET 3I ,11074,,01/27/2000,IN,1863,1999,4,I,OSS385,DZE,Osseotite Implant 3.75mm x 8.5mm L,,OSS385,,
1997016,1038806,ZIMMER BIOMET 3I ,11075,,01/27/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11076,,01/27/2000,IN,2408,1999,4,I,OSS613,DZE,Osseotite Implant 6.0mm x 13mm L,,OSS613,,
1997016,1038806,ZIMMER BIOMET 3I ,11077,,01/27/2000,IN,1863,1999,4,I,OS5610,DZE,Osseotite Implant 5.0-6.0mm x 10.0mm L,,OS5610,,
1997016,1038806,ZIMMER BIOMET 3I ,11078,,01/27/2000,IN,1863,1999,4,I,OSM313,DZE,Osseotite Microminiplant 3.25 x 13mm L,,OSM313,,
1997016,1038806,ZIMMER BIOMET 3I ,11079,,01/27/2000,IN,1863,1999,4,I,OSS311,DZE,Osseotite Implant 3.75mm x 11.5mm L,,OSS311,,
1997016,1038806,ZIMMER BIOMET 3I ,11079A,,01/27/2000,IN,1863,1999,4,I,OSS311,DZE,Osseotite Implant 3.75mm x 11.5mm L,,OSS311,,
1997016,1038806,ZIMMER BIOMET 3I ,11080,,01/27/2000,IN,1863,1999,4,I,ICE315,DZE,ICE Self Tapping Implant 3.75mm x 15mm L,,ICE315,,
1997016,1038806,ZIMMER BIOMET 3I ,11081,,01/27/2000,IN,1260,1999,4,I,ST310,DZE,Self Tapping Threaded Implant 3mm x 10mm L,,ST310,,
1997016,1038806,ZIMMER BIOMET 3I ,11082,,01/27/2000,IN,2408,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11084,,01/27/2000,IN,1863,1999,4,I,OSS310,DZE,Osseotite Implant 3.75mm x 10mm L,,OSS310,,
1997016,1038806,ZIMMER BIOMET 3I ,11085,,01/27/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11086,,01/27/2000,IN,1863,1999,4,I,OSS511,DZE,Osseotite Implant 5.0mm x 11.5mm L,,OSS511,,
1997016,1038806,ZIMMER BIOMET 3I ,11087,,01/27/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11088,,01/27/2000,IN,1863,1999,4,I,OSS511,DZE,Osseotite Implant 5.0mm x 11.5mm L,,OSS511,,
1997016,1038806,ZIMMER BIOMET 3I ,11089,,01/27/2000,IN,1863,1999,4,I,OSS613,DZE,Osseotite Implant 6.0mm x 13mm L,,OSS613,,
1997016,1038806,ZIMMER BIOMET 3I ,11090,,01/27/2000,IN,1863,1999,4,I,OSS311,DZE,Osseotite Implant 3.75mm x 11.5mm L,,OSS311,,
1997016,1038806,ZIMMER BIOMET 3I ,11091,,01/27/2000,IN,1260,1999,4,I,OS3213,DZE,Osseotite Miniplant 3.25mm x 13mm L,,OS3213,,
1997016,1038806,ZIMMER BIOMET 3I ,11092,,01/23/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11093,,01/23/2000,IN,1863,1999,4,I,OSS413,DZE,Osseotite Implant 4.0mm x 13mm L,,OSS413,,
1997016,1038806,ZIMMER BIOMET 3I ,11094,,01/28/2000,IN,2408,1999,4,I,OSS310,DZE,Osseotite Implant 3.75mm x 10mm L,,OSS310,,
1997016,1038806,ZIMMER BIOMET 3I ,11095,,01/28/2000,IN,1863,1999,4,I,OSS607,DZE,Osseotite Implant 6.0mm x 7mm L,,OSS607,,
1997016,1038806,ZIMMER BIOMET 3I ,11096,,01/28/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11097,,01/28/2000,IN,1863,1999,4,I,OSS385,DZE,Osseotite Implant 3.75mm x 8.5mm L,,OSS385,,
1997016,1038806,ZIMMER BIOMET 3I ,11098,,01/28/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11099,,01/28/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11100,,01/28/2000,IN,2408,1999,4,I,OS4510,DZE,Osseotite Implant 4.0-5.0mm x 10mm L,,OS4510,,
1997016,1038806,ZIMMER BIOMET 3I ,11101,,01/28/2000,IN,1863,1999,4,I,OS4513,DZE,Osseotite Implant 4.0-5.0mm x 13mm L,,OS4513,,
1997016,1038806,ZIMMER BIOMET 3I ,11102,,01/28/2000,IN,1863,1999,4,I,OSS585,DZE,Osseotite Implant 5.0mm x 8.5mm L,,OSS585,,
1997016,1038806,ZIMMER BIOMET 3I ,11103,,01/28/2000,IN,1863,1999,4,I,OS3210,DZE,Osseotite Miniplant 3.25mm x 10mm L,,OS3210,,
1997016,1038806,ZIMMER BIOMET 3I ,11104,,01/28/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11105,,01/28/2000,IN,1863,1999,4,I,ICE485,DZE,ICE Self Tapping Implant 4.0mm x 8.5mm L,,ICE485,,
1997016,1038806,ZIMMER BIOMET 3I ,11106,,01/28/2000,IN,1863,1999,4,I,OSS613,DZE,Osseotite Implant 6.0mm x 13mm L,,OSS613,,
1997016,1038806,ZIMMER BIOMET 3I ,11107,,01/28/2000,IN,1863,1999,4,I,OSM315,DZE,Osseotite Microminiplant 3.25 x 15mm L,,OSM315,,
1997016,1038806,ZIMMER BIOMET 3I ,11108,,01/28/2000,IN,1863,1999,4,I,TP415,DZE,Titanium Plasma Sprayed 4.0 x 15mm Hexed Cylindrical Implant,,TP415,,
1997016,1038806,ZIMMER BIOMET 3I ,11109,,01/28/2000,IN,1863,1999,4,I,ST313,DZE,Self Tapping Threaded Implant 3mm x 13mm L,,ST313,,
1997016,1038806,ZIMMER BIOMET 3I ,11110,,01/28/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11111,,01/28/2000,IN,2408,1999,4,I,II315,DZE,Standard Threaded Implant 3.75mm x 15mm L,,II315,,
1997016,1038806,ZIMMER BIOMET 3I ,11112,,01/28/2000,IN,2408,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11113,,01/28/2000,IN,1863,1999,4,I,MH310,DZE,Threaded Miniplant 3.25mm x 10mm L,,MH310,,
1997016,1038806,ZIMMER BIOMET 3I ,11114,,01/28/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11115,,01/28/2000,IN,2408,1999,4,I,ICE513,DZE,ICE Self Tapping Implant 5.0mm x 13mm L,,ICE513,,
1997016,1038806,ZIMMER BIOMET 3I ,11116,,01/28/2000,IN,1863,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11117,,01/28/2000,IN,1863,1999,4,I,TP510,DZE,Titanium Plasma Sprayed 5.0 x 10mm Hexed Cylindrical Implant,,TP510,,
1997016,1038806,ZIMMER BIOMET 3I ,11118,,01/28/2000,IN,1863,1999,4,I,OSS511,DZE,Osseotite Implant 5.0mm x 11.5mm L,,OSS511,,
1997016,1038806,ZIMMER BIOMET 3I ,11119,,01/28/2000,IN,2408,1999,4,I,ST313,DZE,Self Tapping Threaded Implant 3mm x 13mm L,,ST313,,
1997016,1038806,ZIMMER BIOMET 3I ,11120,,01/28/2000,IN,1863,1999,4,I,OSS515,DZE,Osseotite Implant 5.0mm x 15mm L,,OSS515,,
1997016,1038806,ZIMMER BIOMET 3I ,11121,,01/28/2000,IN,1863,1999,4,I,MM315,DZE,Micro-Miniplant 3.25mm x 15mm L,,MM315,,
1997016,1038806,ZIMMER BIOMET 3I ,11122,,01/23/2000,IN,1863,1999,4,I,OSS418,DZE,Osseotite Implant 4.0mm x 18mm L,,OSS418,,
1997016,1038806,ZIMMER BIOMET 3I ,11123,,01/23/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11124,,01/23/2000,IN,1863,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11125,,01/23/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11126,,01/23/2000,IN,2408,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11127,,01/23/2000,IN,1863,1999,4,I,OSS685,DZE,Osseotite Implant 6.0mm x 8.5mm L,,OSS685,,
1997016,1038806,ZIMMER BIOMET 3I ,11128,,01/23/2000,IN,1863,1999,4,I,OSS411,DZE,Osseotite Implant 4.0mm x 11.5mm L,,OSS411,,
1997016,1038806,ZIMMER BIOMET 3I ,11130,,01/23/2000,IN,1863,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11131,,01/23/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11132,,01/23/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11133,,01/23/2000,IN,1863,1999,4,I,ST315,DZE,Self Tapping Threaded Implant 3mm x 15mm L,,ST315,,
1997016,1038806,ZIMMER BIOMET 3I ,11134,,01/23/2000,IN,1863,1999,4,I,ST685,DZE,Standard Threaded Implant 6mm x 8.5mm L,,ST685,,
1997016,1038806,ZIMMER BIOMET 3I ,11136,,01/23/2000,IN,1863,1999,4,I,ST310,DZE,Self Tapping Threaded Implant 3mm x 10mm L,,ST310,,
1997016,1038806,ZIMMER BIOMET 3I ,11137,,01/23/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11138,,01/23/2000,IN,1863,1999,4,I,OSM313,DZE,Osseotite Microminiplant 3.25 x 13mm L,,OSM313,,
1997016,1038806,ZIMMER BIOMET 3I ,11140,,01/23/2000,IN,1863,1999,4,I,OS3213,DZE,Osseotite Miniplant 3.25mm x 13mm L,,OS3213,,
1997016,1038806,ZIMMER BIOMET 3I ,11141,,01/23/2000,IN,1863,1999,4,I,OSS413,DZE,Osseotite Implant 4.0mm x 13mm L,,OSS413,,
1997016,1038806,ZIMMER BIOMET 3I ,11142,,01/23/2000,IN,2408,1999,4,I,ST313,DZE,Self Tapping Threaded Implant 3mm x 13mm L,,ST313,,
1997016,1038806,ZIMMER BIOMET 3I ,11143,,01/23/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11144,,01/23/2000,IN,1863,1999,4,I,OS4510,DZE,Osseotite Implant 4.0-5.0mm x 10mm L,,OS4510,,
1997016,1038806,ZIMMER BIOMET 3I ,11145,,01/23/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11146,,01/23/2000,IN,1863,1999,4,I,OSS507,DZE,Osseotite Implant 5.0mm x 7.0mm L,,OSS507,,
1997016,1038806,ZIMMER BIOMET 3I ,11147,,01/23/2000,IN,1863,1999,4,I,OSS685,DZE,Osseotite Implant 6.0mm x 8.5mm L,,OSS685,,
1997016,1038806,ZIMMER BIOMET 3I ,11148,,01/23/2000,IN,1863,1999,4,I,OS5610,DZE,Osseotite Implant 5.0-6.0mm x 10.0mm L,,OS5610,,
1997016,1038806,ZIMMER BIOMET 3I ,11149,,01/23/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11150,,01/23/2000,IN,1863,1999,4,I,TG2485,DZE,1.8/Osseotite Transgingival 4.0 x 8.5mm Threaded Implant,,TG2485,,
1997016,1038806,ZIMMER BIOMET 3I ,11151,,01/23/2000,IN,1863,1999,4,I,OSS413,DZE,Osseotite Implant 4.0mm x 13mm L,,OSS413,,
1997016,1038806,ZIMMER BIOMET 3I ,11152,,01/23/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11153,,01/23/2000,IN,1863,1999,4,I,OS3215,DZE,Osseotite Miniplant 3.25mm x 15mm L,,OS3215,,
1997016,1038806,ZIMMER BIOMET 3I ,11154,,01/23/2000,IN,2408,1999,4,I,ICE410,DZE,ICE Self Tapping Implant 4.0mm x 10mm L,,ICE410,,
1997016,1038806,ZIMMER BIOMET 3I ,11155,,01/23/2000,IN,1863,1999,4,I,OSS513,DZE,Osseotite Implant 5.0mm x 13mm L,,OSS513,,
1997016,1038806,ZIMMER BIOMET 3I ,11156,,01/23/2000,IN,1863,1999,4,I,OSS410,DZE,Osseotite Implant 4.0mm x 10mm L,,OSS410,,
1997016,1038806,ZIMMER BIOMET 3I ,11157,,01/23/2000,IN,1863,1999,4,I,OSS510,DZE,Osseotite Implant 5.0mm x 10mm L,,OSS510,,
1997016,1038806,ZIMMER BIOMET 3I ,11158,,01/23/2000,IN,1863,1999,4,I,OSS515,DZE,Osseotite Implant 5.0mm x 15mm L,,OSS515,,
1997016,1038806,ZIMMER BIOMET 3I ,11160,,01/23/2000,IN,2408,1999,4,I,OSS413,DZE,Osseotite Implant 4.0mm x 13mm L,,OSS413,,
1997016,1038806,ZIMMER BIOMET 3I ,11161,,01/29/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11167,,01/23/2000,IN,1863,1999,4,I,OSS611,DZE,Osseotite Implant 6.0mm x 11mm L,,OSS611,,
1997016,1038806,ZIMMER BIOMET 3I ,11168,,01/17/2000,IN,1863,1999,4,I,OS3215,DZE,Osseotite Miniplant 3.25mm x 15mm L,,OS3215,,
1997016,1038806,ZIMMER BIOMET 3I ,11169,,01/17/2000,IN,1863,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11170,,01/17/2000,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997016,1038806,ZIMMER BIOMET 3I ,11171,,01/17/2000,IN,1863,1999,4,I,OSS310,DZE,Osseotite Implant 3.75mm x 10mm L,,OSS310,,
1997016,1038806,ZIMMER BIOMET 3I ,11172,,01/17/2000,IN,1863,1999,4,I,OSS515,DZE,Osseotite Implant 5.0mm x 15mm L,,OSS515,,
1997016,1038806,ZIMMER BIOMET 3I ,11172A,,01/17/2000,IN,1863,1999,4,I,OSS515,DZE,Osseotite Implant 5.0mm x 15mm L,,OSS515,,
1997016,1038806,ZIMMER BIOMET 3I ,11172B,,01/17/2000,IN,1863,1999,4,I,OSS515,DZE,Osseotite Implant 5.0mm x 15mm L,,OSS515,,
1997016,1038806,ZIMMER BIOMET 3I ,11173,,01/17/2000,IN,1863,1999,4,I,OSS315,DZE,Osseotite Implant 3.75mm x 15mm L,,OSS315,,
1997016,1038806,ZIMMER BIOMET 3I ,11174,,01/17/2000,IN,1863,1999,4,I,OS4585,DZE,Osseotite Implant 4.0-5.0mm x 8.5mm L,,OS4585,,
1997016,1038806,ZIMMER BIOMET 3I ,11175,,01/17/2000,IN,2408,1999,4,I,OSS415,DZE,Osseotite Implant 4.0mm x 15mm L,,OSS415,,
1997016,1038806,ZIMMER BIOMET 3I ,11176,,01/27/2000,IN,1863,1999,4,I,ICE410,DZE,ICE Self Tapping Implant 4.0mm x 10mm L,,ICE410,,
1997016,1038806,ZIMMER BIOMET 3I ,11177,,01/27/2000,IN,1863,1999,4,I,ICE413,DZE,ICE Self Tapping Implant 4.0mm x 13mm L,,ICE413,,
1997016,1038806,ZIMMER BIOMET 3I ,11178,,01/27/2000,IN,1863,1999,4,I,ST314,DZE,,,,,
1997016,1038806,ZIMMER BIOMET 3I ,40535,,12/02/1999,IN,1863,1999,4,I,OSS313,DZE,Osseotite Implant 3.75mm x 13mm L,,OSS313,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0881,,10/23/1999,M,1069,1999,4,I,SVA10,DZE,""" Screw-Vent Implant, Non-Coated. 3.75mm X 10mmL""",,SVA10,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0882,,10/23/1999,M,1069,1999,4,I,SVA10,DZE,""" Screw-Vent Implant, Non-Coated. 3.75mm X 10mmL""",,SVA10,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0883,,10/29/1999,M,1069,1999,4,I,SVA10,DZE,""" Screw-Vent Implant, Non-Coated. 3.75mm X 10mmL""",,SVA10,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0884,,10/27/1999,M,1069,1999,4,I,MVA13,DZE,Micro-Vent Implant 3.7x13mmL,,MVA13,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0886,,10/28/1999,M,1069,1999,4,I,PSV13,DZE,Com Pure Implant Screw-Vent 3.7x13mmL,,PSV13,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0918,,11/04/1999,M,1069,1999,4,I,PSV10,DZE,Com Pure Implant Screw-Vent 3.7x10mmL,,PSV10,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0919,,11/04/1999,M,1069,1999,4,I,PSV10,DZE,Com Pure Implant Screw-Vent 3.7x10mmL,,PSV10,,
1997019,2023141,ZIMMER DENTAL INC. ,9.0921,,11/05/1999,M,1069,1999,4,I,PSV10,DZE,Com Pure Implant Screw-Vent 3.7x10mmL,,PSV10,,
